cohort_name,estimate,value,diagnostics,source
anti_dyslipidaemia,Clinical description,"Anti-dyslipidaemic medications are a class of drugs used to treat dyslipidaemia, a condition characterised by abnormal levels of lipids such as cholesterol and triglycerides in the blood. This condition is a major risk factor for the development of atherosclerosis and subsequent cardiovascular disease.",cohort_count,gemini-2.5-pro
anti_dyslipidaemia,Frequency,"The use of anti-dyslipidaemic medication is extremely common, particularly in adults over 40, and these individuals will be frequently identified in primary care, hospital, and insurance claims data.",cohort_count,gemini-2.5-pro
anti_dyslipidaemia,Median age of incident cases,"55 to 65 (Initiation of therapy often occurs in middle to older age as part of primary or secondary prevention for cardiovascular disease, following risk assessment or a cardiovascular event.)",cohort_characteristics,gemini-2.5-pro
anti_dyslipidaemia,Percentage male,"50% to 60% (Men are more likely to be prescribed these medications, reflecting their earlier onset and higher prevalence of cardiovascular disease compared to pre-menopausal women.)",cohort_characteristics,gemini-2.5-pro
anti_dyslipidaemia,Survival at five years,"90% to 98% (Survival is generally high as these medications are preventative, with mortality being driven by the underlying cardiovascular risk profile and comorbidities rather than the treatment itself.)",cohort_survival,gemini-2.5-pro
anti_dyslipidaemia,Cohort overlap,"Overlap will be extremely high with dyslipidemia (95-100%) and statin (80-95%) cohorts. Significant overlap is also expected with hypertension (40-70%), antihypertensive medications (40-70%), type 2 diabetes (20-40%), aspirin (30-60%), acute myocardial infarction (15-30%), and ischaemic stroke (10-25%).",compare_cohorts,gemini-2.5-pro
anti_dyslipidaemia,Cohort timing,"For primary prevention, entry into cohorts such as dyslipidemia or hypertension may precede the start of anti-dyslipidaemic therapy by months or years. For secondary prevention, entry into the anti-dyslipidaemic cohort will typically occur within days or weeks after an acute myocardial infarction or ischaemic stroke.",compare_cohorts,gemini-2.5-pro
anti_dyslipidaemia,Frequently seen comorbidities,"the most common comorbidities are dyslipidemia, hypertension, type 2 diabetes, obesity, ischaemic stroke, acute myocardial infarction, heart failure, and chronic kidney disease. (These medications are central to managing cardiovascular risk, so they are frequently prescribed to people with established cardiovascular diseases or a cluster of risk factors.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
anti_dyslipidaemia,Frequently seen signs and symptoms,"the most common signs and symptoms are largely absent as dyslipidaemia is asymptomatic, but may include those of resultant conditions like acute myocardial infarction or ischaemic stroke. (Dyslipidaemia is a biochemical finding and typically does not cause symptoms itself, so clinical signs only manifest once atherosclerosis has progressed to cause cardiovascular events.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
anti_dyslipidaemia,Frequently seen medications,"the most common medications are statins, antihypertensives, aspirin, angiotensin converting enzyme inhibitors/angiotensin receptor blockers, beta blockers, p2y12 inhibitors, calcium channel blockers, and ezetimibe. (These medications are often co-prescribed to provide comprehensive management of the multiple, co-existing risk factors for cardiovascular disease, such as hypertension and thrombosis.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
anticoagulants,Clinical description,"Anticoagulants are a class of drugs that work to prevent blood coagulation or prolong the clotting time. They are prescribed for the primary and secondary prevention of thromboembolic events arising from conditions such as atrial fibrillation, venous thromboembolism, and the presence of mechanical heart valves.",cohort_count,gemini-2.5-pro
anticoagulants,Frequency,"The use of anticoagulants is very common, particularly in older adults, and these prescriptions are well-captured in both primary and secondary care electronic health records as well as in administrative claims data.",cohort_count,gemini-2.5-pro
anticoagulants,Median age of incident cases,"68 to 78 (Individuals are typically initiated on anticoagulants in later life, as the primary indications such as atrial fibrillation and venous thromboembolism increase in incidence with age.)",cohort_characteristics,gemini-2.5-pro
anticoagulants,Percentage male,"45% to 55% (The proportion of males and females is expected to be relatively balanced, though it may be slightly higher in males reflecting the sex distribution of some underlying cardiovascular conditions.)",cohort_characteristics,gemini-2.5-pro
anticoagulants,Survival at five years,"65% to 80% (Survival following initiation of an anticoagulant is highly dependent on the indication and the burden of comorbidities, which are often significant in this patient population.)",cohort_survival,gemini-2.5-pro
anticoagulants,Cohort overlap,"A very high overlap (80-100%) is expected with specific anticoagulant classes like warfarin and doacs; high overlap (40-80%) with indications like atrial_fibrillation and ischaemic_stroke, and comorbidities like hypertension; moderate overlap (20-50%) with other cardiovascular medications like statins, beta_blockers, and antihypertensives; and lower overlap (5-20%) with major procedures like percutaneous_coronary_intervention.",compare_cohorts,gemini-2.5-pro
anticoagulants,Cohort timing,"Chronic risk factors like hypertension or type_2_diabetes will typically be recorded years before the first anticoagulant prescription, whereas the primary indication, such as atrial_fibrillation or ischemic_stroke, will be recorded concurrently or within days to weeks before initiation.",compare_cohorts,gemini-2.5-pro
anticoagulants,Frequently seen comorbidities,"atrial fibrillation, hypertension, heart failure, type 2 diabetes, chronic kidney disease, dyslipidaemia, ischaemic stroke, acute myocardial infarction, obesity and valve disorder (These comorbidities are frequently observed as they are often the underlying indications for anticoagulation or are common cardiovascular risk factors within the same patient population.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
anticoagulants,Frequently seen signs and symptoms,"dyspnoea, chest pain, palpitations, oedema, haematuria, epistaxis, melaena, focal neurological deficit, fatigue and syncope (These represent the signs and symptoms of the underlying conditions requiring treatment, such as atrial fibrillation or venous thromboembolism, or potential side effects of the medication such as bleeding.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
anticoagulants,Frequently seen medications,"statins, beta-blockers, angiotensin-converting enzyme inhibitors, angiotensin ii receptor blockers, diuretics, proton pump inhibitors, aspirin, clopidogrel, digoxin and metformin (These medications are commonly co-prescribed to manage related cardiovascular conditions and risk factors, or to mitigate side effects of anticoagulant therapy.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
antihypertensive,Clinical description,"Antihypertensives are a class of drugs used to treat hypertension (high blood pressure). Hypertension is a chronic medical condition in which the blood pressure in the arteries is persistently elevated, a major risk factor for coronary artery disease, stroke, heart failure, and chronic kidney disease.",cohort_count,gemini-2.5-pro
antihypertensive,Frequency,"The use of antihypertensives is extremely common, reflecting the high prevalence of hypertension in the adult population. Cases will be readily identifiable in primary care, hospital, and insurance claims data.",cohort_count,gemini-2.5-pro
antihypertensive,Median age of incident cases,"55 to 65 (Individuals are typically diagnosed with hypertension and initiated on treatment in middle to older age, with the prevalence increasing significantly with age.)",cohort_characteristics,gemini-2.5-pro
antihypertensive,Percentage male,"50% to 60% (Hypertension is slightly more common in men than women until later in life, after which the prevalence in women increases.)",cohort_characteristics,gemini-2.5-pro
antihypertensive,Survival at five years,"90% to 95% (Mortality is primarily driven by associated cardiovascular events rather than the hypertension itself, and survival is high with effective blood pressure control.)",cohort_survival,gemini-2.5-pro
antihypertensive,Cohort overlap,"Overlap will be extremely high (approaching 100%) with the hypertension cohort, and high (50-100%) with the specific component classes such as acei_arbs, beta_blockers, calcium_channel_blockers, and thiazide_diuretics. High overlap (30-70%) is expected with cohorts for dyslipidaemia, statins, type 2 diabetes, and obesity, and moderate overlap (10-40%) with cohorts for cardiovascular events like acute_mi, heart_failure, and ischemic_stroke.",compare_cohorts,gemini-2.5-pro
antihypertensive,Cohort timing,"The antihypertensive cohort entry will typically occur at the same time as, or within days of, entry into the hypertension cohort. Entry into risk factor cohorts like type 2 diabetes or dyslipidaemia can occur years before or around the same time. Entry into cohorts for cardiovascular events like acute_mi, heart_failure, or ischemic_stroke typically occurs several years after the initiation of antihypertensive treatment, representing disease progression.",compare_cohorts,gemini-2.5-pro
antihypertensive,Frequently seen comorbidities,"hypertension, dyslipidaemia, type 2 diabetes, obesity, chronic kidney disease stage 3, atrial fibrillation, heart failure, ischaemic stroke, acute myocardial infarction, coronary artery disease (these conditions share common risk factors with hypertension, or are direct consequences of long-term elevated blood pressure on target organs like the heart, brain, and kidneys.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
antihypertensive,Frequently seen signs and symptoms,"elevated blood pressure reading, headache, dizziness, visual disturbances, chest pain, dyspnoea, peripheral oedema, fatigue, palpitations, haematuria (while often asymptomatic, these signs and symptoms can arise from severely elevated blood pressure or from hypertension-related damage to the cardiovascular, renal, and central nervous systems.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
antihypertensive,Frequently seen medications,"angiotensin-converting enzyme inhibitors, angiotensin ii receptor blockers, calcium channel blockers, thiazide diuretics, beta-blockers, statins, aspirin, oral hypoglycaemics, anticoagulants, insulin (this list includes the major classes of antihypertensive drugs themselves, as well as medications to manage commonly co-occurring conditions like dyslipidaemia, diabetes, and cardiovascular disease risk.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
aspirin,Clinical description,Aspirin is a nonsteroidal anti-inflammatory drug that works by inhibiting platelet aggregation to prevent the formation of blood clots. It is widely used for the secondary prevention of cardiovascular and cerebrovascular events such as heart attacks and strokes.,cohort_count,gemini-2.5-pro
aspirin,Frequency,"Aspirin is an extremely common medication, available both over-the-counter and on prescription, and its use is readily identifiable in most healthcare data sources including primary care, hospital, and insurance claims.",cohort_count,gemini-2.5-pro
aspirin,Median age of incident cases,"65 to 75 (Individuals are typically middle-aged or older when aspirin is initiated for cardiovascular protection, often following a cardiovascular event or when risk factors accumulate.)",cohort_characteristics,gemini-2.5-pro
aspirin,Percentage male,50% to 65% (A slightly higher proportion of males is expected as men tend to develop cardiovascular disease at an earlier age than women.),cohort_characteristics,gemini-2.5-pro
aspirin,Survival at five years,70% to 85% (Survival is generally good but is lower than in the age and sex matched general population due to the underlying cardiovascular conditions for which aspirin is prescribed.),cohort_survival,gemini-2.5-pro
aspirin,Cohort overlap,"Expect very high overlap (60-95%) with cohorts for acute cardiovascular events (acute_mi, ischemic_stroke), procedures (percutaneous_coronary_intervention), cardiovascular risk factors (hypertension, dyslipidemia), and related medications (statin); moderate overlap (20-50%) is expected with conditions like heart_failure and type_2_diabetes, and with other cardiovascular drugs like p2y12_inhibitors and anticoagulants.",compare_cohorts,gemini-2.5-pro
aspirin,Cohort timing,"Entry into the aspirin cohort is often simultaneous with or days after entry into cohorts for acute events like acute_mi or procedures like percutaneous_coronary_intervention; for chronic conditions like hypertension or type_2_diabetes, the diagnosis is likely to precede aspirin initiation by months or years.",compare_cohorts,gemini-2.5-pro
aspirin,Frequently seen comorbidities,"hypertension, dyslipidemia, type 2 diabetes, ischaemic stroke, heart failure, atrial fibrillation, obesity, chronic kidney disease, cartoid artery disease, and acute myocardial infarction (These conditions are common as they are established risk factors for, or consequences of, the atherosclerotic cardiovascular diseases that aspirin is used to prevent.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
aspirin,Frequently seen signs and symptoms,"angina pectoris, dyspnoea, palpitations, peripheral oedema, intermittent claudication, syncope, fatigue, hemiparesis, dizziness, and dysarthria (These are common symptoms related to the underlying cardiovascular, cerebrovascular, and peripheral artery diseases for which aspirin is indicated.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
aspirin,Frequently seen medications,"statin, acei_arbs, beta_blockers, calcium_channel_blockers, thiazide_diuretics, p2y12_inhibitors, doacs, warfarin, ezetimibe, and pcsk9_inhibitors (These drugs are frequently used alongside aspirin as part of comprehensive guideline-directed management of cardiovascular disease and its risk factors.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
beta_blockers,Clinical description,"Beta-blockers are a class of medication primarily used to manage cardiovascular conditions such as hypertension, angina, heart failure, and atrial fibrillation. They function by blocking beta-adrenergic receptors, which reduces the effects of adrenaline, leading to a decreased heart rate, lower blood pressure, and reduced cardiac workload.",cohort_count,gemini-2.5-pro
beta_blockers,Frequency,"Beta-blockers are very commonly prescribed drugs, and cohorts of users are readily identifiable in real-world data sources that contain prescription information, such as primary care records and administrative claims data.",cohort_count,gemini-2.5-pro
beta_blockers,Median age of incident cases,"55 to 70 (Beta-blockers are typically initiated in middle-aged to older adults for conditions like hypertension, angina, or heart failure, which become more prevalent with increasing age.)",cohort_characteristics,gemini-2.5-pro
beta_blockers,Percentage male,"45% to 60% (The use of beta-blockers is common in both men and women, with a slight male predominance often observed due to the higher prevalence of cardiovascular disease in men.)",cohort_characteristics,gemini-2.5-pro
beta_blockers,Survival at five years,"75% to 90% (Survival for individuals prescribed beta-blockers is largely determined by the severity of the underlying cardiovascular indication, ranging from a good prognosis for simple hypertension to a poorer prognosis for advanced heart failure.)",cohort_survival,gemini-2.5-pro
beta_blockers,Cohort overlap,"High overlap (40-80%) is expected with cohorts for hypertension, other antihypertensive medications (acei_arbs, calcium_channel_blockers), and dyslipidemia-related cohorts (statin). Moderate to high overlap (20-60%) is expected with heart_failure, atrial_fibrillation, acute_mi, and related medications like aspirin and anticoagulants. Lower but significant overlap (10-40%) is seen with type_2_diabetes, chronic kidney disease, and revascularisation procedures like percutaneous_coronary_intervention.",compare_cohorts,gemini-2.5-pro
beta_blockers,Cohort timing,"For acute events like acute_mi or procedures such as percutaneous_coronary_intervention, beta-blocker initiation is typically concurrent or within days, whereas for chronic conditions like hypertension, beta-blockers may be started months or years after the initial diagnosis, often as an addition to existing treatments.",compare_cohorts,gemini-2.5-pro
beta_blockers,Frequently seen comorbidities,"the most common comorbidities are hypertension, heart failure, coronary artery disease, atrial fibrillation, dyslipidaemia, type 2 diabetes, chronic kidney disease, obesity, ischaemic stroke, and peripheral arterial disease. (these comorbidities are commonly observed as they represent either the primary indications for beta-blocker therapy, such as hypertension and heart failure, or are part of the broader metabolic and cardiovascular risk profile of the patient.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
beta_blockers,Frequently seen signs and symptoms,"the most common signs and symptoms are bradycardia, fatigue, dizziness, hypotension, dyspnoea, chest pain, palpitations, peripheral oedema, headache, and cold extremities. (these reflect a mixture of the common side effects of the medication itself, such as bradycardia and fatigue, and the symptoms of the underlying cardiovascular diseases being treated, like dyspnoea and chest pain.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
beta_blockers,Frequently seen medications,"the most common medications are statins, angiotensin-converting enzyme inhibitors, angiotensin receptor blockers, calcium channel blockers, thiazide diuretics, aspirin, p2y12 inhibitors, direct oral anticoagulants, warfarin, and metformin. (these medications are frequently prescribed alongside beta-blockers as part of established guideline-directed combination therapies for managing complex cardiovascular conditions and their associated risk factors.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
calcium_channel_blockers,Clinical description,"Calcium channel blockers are a class of medicines used to lower blood pressure and treat other cardiovascular conditions such as angina pectoris and arrhythmias. They work by relaxing blood vessels and, for some types, reducing the heart's rate and force of contraction.",cohort_count,gemini-2.5-pro
calcium_channel_blockers,Frequency,"Calcium channel blockers are very commonly prescribed medications for chronic conditions, so cases are expected to be frequently identified in primary care electronic health records, hospital data, and insurance claims databases.",cohort_count,gemini-2.5-pro
calcium_channel_blockers,Median age of incident cases,"55 to 65 (Individuals are typically middle-aged or older when first prescribed calcium channel blockers, as the prevalence of indications like hypertension and coronary artery disease increases significantly with age.)",cohort_characteristics,gemini-2.5-pro
calcium_channel_blockers,Percentage male,"45% to 55% (The underlying conditions treated, such as hypertension, are common in both men and women, resulting in a relatively balanced sex distribution among users.)",cohort_characteristics,gemini-2.5-pro
calcium_channel_blockers,Survival at five years,"85% to 95% (One-year survival is very high, and five-year survival is also high, with mortality primarily determined by the severity of underlying cardiovascular disease and comorbidities rather than the medication itself.)",cohort_survival,gemini-2.5-pro
calcium_channel_blockers,Cohort overlap,"A very high overlap (50-80%) is expected with hypertension and antihypertensive cohorts, moderate overlap (20-50%) with cohorts for cardiovascular risk factors like type_2_diabetes, dyslipidemia, and statin, and lower overlap (5-20%) with cohorts for acute cardiovascular events like acute_mi and ischemic_stroke.",compare_cohorts,gemini-2.5-pro
calcium_channel_blockers,Cohort timing,"A diagnosis of hypertension typically precedes or is recorded within days of the first calcium channel blocker prescription, while other medications like statins or acei_arbs may be started concurrently or within the same year, and an acute event like acute_mi would typically precede initiation if the drug is started post-event.",compare_cohorts,gemini-2.5-pro
calcium_channel_blockers,Frequently seen comorbidities,"hypertension, type 2 diabetes, dyslipidaemia, obesity, atrial fibrillation, heart failure, ischaemic stroke, acute myocardial infarction, chronic kidney disease, and carotid artery disease are common comorbidities. (These comorbidities are frequently observed as they share common risk factors with, or are complications of, the cardiovascular conditions for which calcium channel blockers are prescribed.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
calcium_channel_blockers,Frequently seen signs and symptoms,"peripheral oedema, headache, dizziness, flushing, constipation, palpitations, fatigue, nausea, hypotension, and bradycardia are common signs and symptoms. (These are either common side effects resulting from the drug's vasodilatory mechanism of action or symptoms related to the underlying cardiovascular conditions being treated.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
calcium_channel_blockers,Frequently seen medications,"angiotensin-converting enzyme inhibitors or angiotensin receptor blockers, thiazide diuretics, beta blockers, statins, aspirin, P2Y12 receptor inhibitors, direct oral anticoagulants, warfarin, ezetimibe, and other anti-dyslipidaemia agents are common medications. (These medications are often used in combination with calcium channel blockers as part of a multi-faceted approach to manage hypertension, reduce cardiovascular risk, and treat co-existing conditions.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
dipyridamole,Clinical description,"Dipyridamole is a phosphodiesterase inhibitor with antiplatelet and vasodilator properties. It is primarily used, often in combination with aspirin, for the secondary prevention of ischaemic stroke and transient ischaemic attacks, and also following heart valve replacement surgery to prevent thromboembolism.",cohort_count,gemini-2.5-pro
dipyridamole,Frequency,"The use of dipyridamole has declined in recent years, often being superseded by other antiplatelet agents like clopidogrel, but it can still be identified in both primary and secondary care data, particularly in older patients with a history of cerebrovascular disease.",cohort_count,gemini-2.5-pro
dipyridamole,Median age of incident cases,"65 to 75 (Individuals are typically older as the primary indications for use, such as secondary stroke prevention and heart valve replacement, are most common in the elderly population.)",cohort_characteristics,gemini-2.5-pro
dipyridamole,Percentage male,"45% to 55% (A near-equal sex distribution is expected, with a slight male predominance reflecting the epidemiology of cardiovascular and cerebrovascular disease.)",cohort_characteristics,gemini-2.5-pro
dipyridamole,Survival at five years,"50% to 70% (Survival is moderate and largely dictated by the prognosis of the underlying condition, such as a recent ischaemic stroke or significant cardiovascular disease.)",cohort_survival,gemini-2.5-pro
dipyridamole,Cohort overlap,"High overlap is expected with cohorts for ischaemic stroke (60-80%), aspirin (70-90%), antihypertensives (e.g. acei_arbs, beta_blockers, calcium_channel_blockers, thiazide_diuretics; 70-90%), statins (60-80%), and hypertension (70-90%); moderate overlap with atrial_fibrillation (20-40%), type_2_diabetes (20-40%), anticoagulants (e.g. warfarin, doacs; 20-40%), and valve_disorder_excl_endocarditis (10-25%); and low overlap with alternative antiplatelets like p2y12_inhibitors (5-15%).",compare_cohorts,gemini-2.5-pro
dipyridamole,Cohort timing,"Initiation of dipyridamole typically occurs days or weeks after an acute event like an ischaemic_stroke or a procedure such as valve replacement (in the valve_disorder_excl_endocarditis cohort). It would therefore be preceded, often by many years, by entry into cohorts for chronic risk factors like hypertension, dyslipidaemia, or type_2_diabetes. Entry into cohorts for other secondary prevention medications like statins or aspirin may occur concurrently with dipyridamole initiation.",compare_cohorts,gemini-2.5-pro
dipyridamole,Frequently seen comorbidities,"hypertension, dyslipidaemia, type 2 diabetes, ischaemic stroke, atrial fibrillation, heart failure, coronary artery disease, carotid artery disease, chronic kidney disease, and obesity are the most common comorbidities. (These comorbidities are common as they represent the typical risk factors and established diseases found in a population requiring secondary prevention for atherosclerotic cardiovascular or cerebrovascular events.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
dipyridamole,Frequently seen signs and symptoms,"headache, dizziness, nausea, flushing, diarrhoea, vomiting, myalgia, hypotension, angina pectoris, and rash are the most common signs and symptoms. (This profile includes common adverse effects of the drug itself, such as headache and dizziness, as well as symptoms related to underlying cardiovascular disease like angina pectoris.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
dipyridamole,Frequently seen medications,"aspirin, statins, angiotensin-converting enzyme inhibitors, angiotensin receptor blockers, beta-blockers, calcium channel blockers, thiazide diuretics, warfarin, direct oral anticoagulants, and P2Y12 inhibitors are the most common medications. (These medications are frequently co-prescribed to manage the spectrum of cardiovascular risk, including hypertension, dyslipidaemia, and other indications for anticoagulation or antiplatelet therapy.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
doacs,Clinical description,"Direct oral anticoagulants are medications used to prevent and treat thromboembolic events. Their use is indicated in conditions that increase the risk of blood clot formation, such as non-valvular atrial fibrillation, deep vein thrombosis, and pulmonary embolism.",cohort_count,gemini-2.5-pro
doacs,Frequency,"DOACs are very commonly prescribed medications that have increasingly replaced older anticoagulants. Cases are readily identifiable in most real-world data sources that contain prescription information, including primary care, secondary care, and insurance claims data.",cohort_count,gemini-2.5-pro
doacs,Median age of incident cases,"70 to 80 (Individuals are typically older adults, as the primary indications for DOACs, such as atrial fibrillation, increase in prevalence with age.)",cohort_characteristics,gemini-2.5-pro
doacs,Percentage male,"45% to 55% (The proportion of males and females is expected to be relatively balanced, reflecting the similar overall prevalence of indications for anticoagulation between the sexes.)",cohort_characteristics,gemini-2.5-pro
doacs,Survival at five years,"60% to 75% (One-year survival is expected to be high (0.90-0.95), with five-year survival being substantially lower as mortality is primarily determined by the underlying cardiovascular conditions and comorbidities rather than the medication itself.)",cohort_survival,gemini-2.5-pro
doacs,Cohort overlap,"High overlap (70-90%) with atrial_fibrillation. Moderate to high overlap (40-70%) with hypertension, antihypertensive, acei_arbs, beta_blockers, dyslipidemia, and statin. Moderate overlap (20-40%) with heart_failure, type_2_diabetes, and ckd cohorts. Lower overlap (10-30%) with ischemic_stroke, acute_mi, aspirin, and warfarin (indicating switching). As anticoagulants is a parent class, overlap is 100%.",compare_cohorts,gemini-2.5-pro
doacs,Cohort timing,"Entry into condition cohorts such as atrial_fibrillation, hypertension, and heart_failure will precede DOAC initiation by months to years. Entry into acute event cohorts like ischemic_stroke will precede DOAC initiation by days to weeks. Initiation of medications like statin or antihypertensive will typically predate the DOAC. Entry into a warfarin cohort will predate entry into the DOAC cohort for patients who switch therapy.",compare_cohorts,gemini-2.5-pro
doacs,Frequently seen comorbidities,"the most common comorbidities are atrial fibrillation, hypertension, heart failure, type 2 diabetes, dyslipidaemia, chronic kidney disease, ischaemic stroke, acute myocardial infarction, obesity, and valve disorders (These conditions represent the primary indications for anticoagulation (e.g., atrial fibrillation, ischaemic stroke) or are common cardiovascular and metabolic risk factors frequently seen in this patient population.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
doacs,Frequently seen signs and symptoms,"the most common signs and symptoms are epistaxis, haematuria, haematoma, gingival bleeding, melaena, haematemesis, haemoptysis, rectal bleeding, dyspepsia, and dizziness (These signs and symptoms primarily relate to the medication's mechanism of action, reflecting an increased risk of bleeding, or common gastrointestinal side effects.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
doacs,Frequently seen medications,"the most common medications are statins, angiotensin-converting enzyme inhibitors or angiotensin receptor blockers, beta-blockers, calcium channel blockers, thiazide diuretics, aspirin, proton pump inhibitors, P2Y12 inhibitors, digoxin, and metformin (These medications are prescribed to manage the common cardiovascular comorbidities such as hypertension, dyslipidaemia, heart failure, and coronary artery disease.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
ezetimibe,Clinical description,"Ezetimibe is a lipid-lowering medication that inhibits the intestinal absorption of cholesterol. It is used to treat hypercholesterolaemia, often as an adjunct to statin therapy or as monotherapy in patients intolerant to statins.",cohort_count,gemini-2.5-pro
ezetimibe,Frequency,"Ezetimibe is a commonly prescribed medication for dyslipidaemia. Cases are readily identifiable in primary care prescribing databases, pharmacy claims data, and electronic health records.",cohort_count,gemini-2.5-pro
ezetimibe,Median age of incident cases,"55 to 70 (Ezetimibe is typically initiated in middle-aged or older adults for the management of hypercholesterolaemia, often after trials of other lipid-lowering therapies.)",cohort_characteristics,gemini-2.5-pro
ezetimibe,Percentage male,"50% to 60% (A slight male predominance is expected, reflecting the generally earlier onset and higher prevalence of cardiovascular disease and its risk factors in men.)",cohort_characteristics,gemini-2.5-pro
ezetimibe,Survival at five years,"85% to 95% (Mortality is primarily determined by the underlying cardiovascular comorbidities and age rather than the medication itself, which is prescribed for long-term risk reduction.)",cohort_survival,gemini-2.5-pro
ezetimibe,Cohort overlap,"high overlap (90-100%) is expected with dyslipidaemia and anti_dyslipidaemia cohorts, and very high overlap (50-80%) with statin as it is often a co-prescription; moderate to high overlap (20-70%) is expected with cohorts for atherosclerotic cardiovascular diseases (e.g., acute_mi, ischemic_stroke), their risk factors (e.g., hypertension, type_2_diabetes, obesity), and their treatments (e.g., antihypertensive, aspirin).",compare_cohorts,gemini-2.5-pro
